$rawName$,$cleanName$,$xlateName$,$status$,$first_date$,$change_date$,$change_comment$
$70 Mcallen Central 30 Mission Crane water$,$70 mcallen central 30 mission crane water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$70% BTLT Water Well and 30% Mission City Water$,$70% btlt water well and 30% mission city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$714217$,$714217$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$742143$,$742143$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$75% BTLT, 25% Nabors Yard$,$75% btlt, 25% nabors yard$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$7732-18-5$,$7732-18-5$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$775854$,$775854$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$8 North LLC$,$8 north llc$,$8 north$,$curated$,$d:2021-07-04$,$$,$$
$80 Lopez Water 20 Mcallen Central$,$80 lopez water 20 mcallen central$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$80 McAllen Central and 20 McAllen City water$,$80 mcallen central and 20 mcallen city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$80% BTLT Water Well 20% City Water$,$80% btlt water well 20% city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$80% BTLT Water Well 20% City Water Nabors Yard$,$80% btlt water well 20% city water nabors yard$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$81 McAllen Central and 19 McAllen City Water$,$81 mcallen central and 19 mcallen city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$81% City Water, 19% BTLT Pond$,$81% city water, 19% btlt pond$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$85% BTLT water well 5% Mcallen Ranch 10% City Water$,$85% btlt water well 5% mcallen ranch 10% city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$89 Energy$,$89 energy$,$89 energy$,$curated$,$d:2021-07-04$,$$,$$
$9.08$,$9.08$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$9.66$,$9.66$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$9.8412$,$9.8412$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$90 Degree Technologies$,$90 degree technologies$,$90 degree technologies$,$curated$,$d:2021-07-04$,$$,$$
$90 McAllen Central and 10 City Water.$,$90 mcallen central and 10 city water.$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$90 Mcallen Central 10 City$,$90 mcallen central 10 city$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$90 Mcallen Central 10 Mcallen City$,$90 mcallen central 10 mcallen city$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$90% City 10% Mcallen Central$,$90% city 10% mcallen central$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$90% McAllen Central and 10% McAllen City Water$,$90% mcallen central and 10% mcallen city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$90% McAllen Central, 10% McAllen City Water$,$90% mcallen central, 10% mcallen city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$90% Mcallen Central 10 % City$,$90% mcallen central 10 % city$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$94 Operating, LP$,$94 operating, lp$,$94 operating$,$curated$,$d:2021-07-04$,$$,$$
$95 McAllen Central and 5 McAllen City Water$,$95 mcallen central and 5 mcallen city water$,$water_source$,$curated$,$d:2021-07-04$,$d:2021-09-12$,$begin water_source category$
$A & C$,$a & c$,$a & c$,$curated$,$d:2021-07-04$,$$,$$
$A SHULMAN$,$a shulman$,$a schulman$,$curated$,$d:2021-07-04$,$$,$$
$A Schulman$,$a schulman$,$a schulman$,$curated$,$D:2021-11-07$,$$,$$
$A Schulman Inc$,$a schulman inc$,$a schulman$,$curated$,$d:2021-07-04$,$$,$$
$A Schulman Inc.$,$a schulman inc.$,$a schulman$,$curated$,$d:2021-07-04$,$$,$$
$A&C$,$a&c$,$a & c$,$curated$,$d:2021-07-04$,$$,$$
$A&W  Water Service Inc$,$a&w  water service inc$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Servic Inc$,$a&w water servic inc$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Service$,$a&w water service$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Service Inc$,$a&w water service inc$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Service Inc.$,$a&w water service inc.$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Service Inc/Encana$,$a&w water service inc/encana$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Service Inc/Ensign Well Services Inc$,$a&w water service inc/ensign well services inc$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Service/Enca na$,$a&w water service/enca na$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Services$,$a&w water services$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Services Inc$,$a&w water services inc$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A&W Water Services Inc.$,$a&w water services inc.$,$a&w water service$,$curated$,$d:2021-07-04$,$$,$$
$A. SCHULMAN$,$a. schulman$,$a schulman$,$curated$,$d:2021-07-04$,$$,$$
$A. Schulman$,$a. schulman$,$a schulman$,$curated$,$d:2021-07-04$,$$,$$
$A. Schulman Inc.$,$a. schulman inc.$,$a schulman$,$curated$,$d:2021-07-04$,$$,$$
$A. Schulman, Inc$,$a. schulman, inc$,$a schulman$,$curated$,$d:2021-07-04$,$$,$$
$A. Shulman$,$a. shulman$,$a schulman$,$curated$,$d:2021-07-04$,$$,$$
$A1-SEALING LLC$,$a1-sealing llc$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$A1-SEALING, LLC$,$a1-sealing, llc$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$A1310571$,$a1310571$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$A1611520$,$a1611520$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$A1711722$,$a1711722$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$A7C$,$a7c$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$ABARTA Oil & Gas Co., Inc.$,$abarta oil & gas co., inc.$,$abarta oil & gas$,$curated$,$d:2021-07-04$,$$,$$
