$non_specific_code$,$source$
$salt of fatty acid/polyamine reaction product$,$EPA_Appendix_H_2$
$salt of phosphate ester$,$EPA_Appendix_H_2$
$salt of phosphono-methylated diamine$,$EPA_Appendix_H_2$
$salts$,$EPA_Appendix_H_2$
$salts of oxyalkylated fatty amines$,$EPA_Appendix_H_2$
$sand$,$EPA_Appendix_H_2$
$sand, az silica$,$EPA_Appendix_H_2$
$sand, brown$,$EPA_Appendix_H_2$
$sand, sacked$,$EPA_Appendix_H_2$
$sand, white$,$EPA_Appendix_H_2$
$secondary alcohol$,$EPA_Appendix_H_2$
$silica sand,$,$EPA_Appendix_H_2$
$silicone emulsion$,$EPA_Appendix_H_2$
$silicone ester$,$EPA_Appendix_H_2$
$sodium acid pyrophosphate$,$EPA_Appendix_H_2$
$sodium calcium magnesium polyphosphate$,$EPA_Appendix_H_2$
$sodium phosphate$,$EPA_Appendix_H_2$
$sodium salt of aliphatic amine acid$,$EPA_Appendix_H_2$
$sodium xylene sulfonate$,$EPA_Appendix_H_2$
$softwood dust$,$EPA_Appendix_H_2$
$starch blends$,$EPA_Appendix_H_2$
$substituted alcohol$,$EPA_Appendix_H_2$
$substituted alkene$,$EPA_Appendix_H_2$
$substituted alklyamine$,$EPA_Appendix_H_2$
$substituted alkyne$,$EPA_Appendix_H_2$
$sulfate$,$EPA_Appendix_H_2$
$sulfomethylated tannin$,$EPA_Appendix_H_2$
$sulfonate$,$EPA_Appendix_H_2$
$sulfonate acids$,$EPA_Appendix_H_2$
$sulfonate surfactants$,$EPA_Appendix_H_2$
$sulfonated asphalt$,$EPA_Appendix_H_2$
$sulfonic acid salts$,$EPA_Appendix_H_2$
$sulfur compound$,$EPA_Appendix_H_2$
$sulphonic amphoterics$,$EPA_Appendix_H_2$
$sulphonic amphoterics blend$,$EPA_Appendix_H_2$
$surfactant blend$,$EPA_Appendix_H_2$
$surfactants$,$EPA_Appendix_H_2$
$synthetic copolymer$,$EPA_Appendix_H_2$
$synthetic polymer$,$EPA_Appendix_H_2$
$tallow soap$,$EPA_Appendix_H_2$
$telomer$,$EPA_Appendix_H_2$
$terpenes$,$EPA_Appendix_H_2$
$titanium complex$,$EPA_Appendix_H_2$
$triethanolamine zirconium chelate$,$EPA_Appendix_H_2$
$triterpanes$,$EPA_Appendix_H_2$
$vanadium compounds$,$EPA_Appendix_H_2$
$wall material$,$EPA_Appendix_H_2$
$walnut hulls$,$EPA_Appendix_H_2$
$zirconium complex$,$EPA_Appendix_H_2$
$zirconium salt$,$EPA_Appendix_H_2$
